,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,label
0,0.1163575042158516,0.13490725126475547,0.2782462057335582,0.47048903878583476,0.0,0.0,0.0,0.0,1
1,0.09693877551020408,0.21045918367346939,0.26913265306122447,0.42346938775510207,0.0,0.0,0.0,0.0,1
2,0.06769596199524941,0.15795724465558195,0.4833729216152019,0.29097387173396677,0.0,0.0,0.0,0.0,1
3,0.0852994555353902,0.132486388384755,0.32849364791288566,0.4537205081669691,0.0,0.0,0.0,0.0,1
4,0.026058631921824105,0.26221498371335505,0.28827361563517917,0.4234527687296417,0.0,0.0,0.0,0.0,1
5,0.04161073825503356,0.18926174496644296,0.33422818791946307,0.4348993288590604,0.0,0.0,0.0,0.0,1
6,0.11267605633802817,0.176056338028169,0.1619718309859155,0.2605633802816901,0.2887323943661972,0.0,0.0,0.0,1
7,0.02834008097165992,0.2834008097165992,0.291497975708502,0.3967611336032389,0.0,0.0,0.0,0.0,1
8,0.08888888888888889,0.1492063492063492,0.26031746031746034,0.5015873015873016,0.0,0.0,0.0,0.0,1
9,0.0380952380952381,0.19047619047619047,0.3380952380952381,0.43333333333333335,0.0,0.0,0.0,0.0,1
10,0.06649282920469361,0.14993481095176012,0.31290743155149936,0.4706649282920469,0.0,0.0,0.0,0.0,1
11,0.04987531172069826,0.17955112219451372,0.3341645885286783,0.43640897755610975,0.0,0.0,0.0,0.0,1
12,0.09302325581395349,0.03488372093023256,0.09302325581395349,0.7790697674418605,0.0,0.0,0.0,0.0,2
13,0.04831932773109244,0.17436974789915966,0.31932773109243695,0.4579831932773109,0.0,0.0,0.0,0.0,2
14,0.0,0.20041322314049587,0.7995867768595041,0.0,0.0,0.0,0.0,0.0,1
15,0.0,0.17172774869109947,0.3507853403141361,0.4774869109947644,0.0,0.0,0.0,0.0,1
16,0.0,0.1997874601487779,0.5239107332624867,0.2763018065887354,0.0,0.0,0.0,0.0,1
